Predecessor_CID,Predecessor_Name,Successor_CID,Successor_Name,Transformation,Biosystem,Enzyme,Source_ID,Source,Source_Description,Dataset_DOI,Dataset_Description,Evidence_ID,Evidence_Description,Notes,Parent_SMILES,Metabolite_SMILES,meta_substrate_name,meta_substrate_cid,meta_substrate_inchikey,meta_substrate_inchi,meta_enzyme,meta_reaction_type,meta_biotransformation_type,meta_biosystem,meta_prod_name,meta_prod_cid,meta_prod_inchikey,meta_prod_inchi,meta_reference
5284371,codeine,9925873,norcodeine,N-dealkylation of alicyclic tertiary amine / Human Phase I,Human,CYP3A4,BIOTID00436,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Caraco, Y et al. (1996); Microsomal codeine N-demethylation: cosegregation with cytochrome P4503A4 activity; Drug Metab Dispos. 1996 Jul;24(7):761-4",CYP3A4,CN1CC[C@]23[C@H]4C=C[C@@H]([C@@H]3Oc3c(ccc(C[C@@H]14)c23)OC)O,COc1ccc2C[C@@H]3[C@@H]4C=C[C@@H]([C@H]5[C@]4(CCN3)c2c1O5)O,codeine,5284371,OROGSEYTTFOCAN-DNJOTXNNSA-N,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1",CYP3A4,N-dealkylation of alicyclic tertiary amine,Human Phase I,Human,norcodeine,9925873,HKOIXWVRNLGFOR-KOFBORESSA-N,"InChI=1S/C17H19NO3/c1-20-13-5-2-9-8-11-10-3-4-12(19)16-17(10,6-7-18-11)14(9)15(13)21-16/h2-5,10-12,16,18-19H,6-8H2,1H3/t10-,11+,12-,16-,17-/m0/s1","Caraco, Y et al. (1996); Microsomal codeine N-demethylation: cosegregation with cytochrome P4503A4 activity; Drug Metab Dispos. 1996 Jul;24(7):761-4"
644018,(-)-pseudococaine,154699498,Norcocaine,N-dealkylation of alicyclic tertiary amine / Human Phase I,Human,CYP3A4,BIOTID00037,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Rendic, S. et al. (1997); Human Cytochrome P450 Enzymes: A Status Report Summarizing Their Reactions, Substrates, Inducers, and Inhibitors; Drug Metabolism reviews 1997, 29, 413-580|Brone, R.F. et al. (1977); Biological Effects of Cocaine Derivatives I: Improved Systhesis and Pharmacological Evaluation of Norcocaine; J. Pharm. Sci. 1977, 66, 119-120.",CYP3A4,CN1[C@@H]2CC[C@H]1[C@H]([C@@H](C2)OC(=O)c1ccccc1)C(=O)OC,COC(=O)[C@@H]1[C@@H]2CC[C@H](C[C@H]1OC(=O)c1ccccc1)N2,(-)-pseudococaine,644018,ZPUCINDJVBIVPJ-LXTVHRRPSA-N,"InChI=1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3/t12-,13+,14-,15-/m1/s1",CYP3A4,N-dealkylation of alicyclic tertiary amine,Human Phase I,Human,Norcocaine,,AYDBLCSLKNTEJL-XJFOESAGSA-N,"InChI=1S/C16H19NO4/c1-20-16(19)14-12-8-7-11(17-12)9-13(14)21-15(18)10-5-3-2-4-6-10/h2-6,11-14,17H,7-9H2,1H3/t11-,12+,13-,14-/m1/s1","Rendic, S. et al. (1997); Human Cytochrome P450 Enzymes: A Status Report Summarizing Their Reactions, Substrates, Inducers, and Inhibitors; Drug Metabolism reviews 1997, 29, 413-580|Brone, R.F. et al. (1977); Biological Effects of Cocaine Derivatives I: Improved Systhesis and Pharmacological Evaluation of Norcocaine; J. Pharm. Sci. 1977, 66, 119-120."
5311047,cisapride,9861621,Norcisapride,N-dealkylation of alicyclic tertiary amine / Human Phase I,Human,CYP3A4; CYP2C8; CYP2B6,BIOTID00411,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985",CYP3A4; CYP2C8; CYP2B6,COc1cc(c(cc1C(=N[C@H]1CCN(CCCOc2ccc(cc2)F)C[C@H]1OC)O)Cl)N,COc1cc(c(cc1C(=N[C@H]1CCNC[C@H]1OC)O)Cl)N,cisapride,5311047,DCSUBABJRXZOMT-RBBKRZOGSA-N,"InChI=1S/C23H29ClFN3O4/c1-30-21-13-19(26)18(24)12-17(21)23(29)27-20-8-10-28(14-22(20)31-2)9-3-11-32-16-6-4-15(25)5-7-16/h4-7,12-13,20,22H,3,8-11,14,26H2,1-2H3,(H,27,29)/t20-,22+/m0/s1",CYP3A4; CYP2C8; CYP2B6,N-dealkylation of alicyclic tertiary amine,Human Phase I,Human,Norcisapride,,OMLDMGPCWMBPAN-WCQYABFASA-N,"InChI=1S/C14H20ClN3O3/c1-20-12-6-10(16)9(15)5-8(12)14(19)18-11-3-4-17-7-13(11)21-2/h5-6,11,13,17H,3-4,7,16H2,1-2H3,(H,18,19)/t11-,13+/m0/s1","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
2769,(+-)-Cisapride,3019427,Norcisapride,N-dealkylation of mixed tertiary amine / Human Phase I,Human,CYP3A4; CYP2C8; CYP2B6 ,BIOTID00415,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985",CYP3A4; CYP2C8; CYP2B6 ,COc1cc(c(cc1C(=NC1CCN(CCCOc2ccc(cc2)F)CC1OC)O)Cl)N,COc1cc(c(cc1C(=NC1CCNCC1OC)O)Cl)N,(+-)-Cisapride,2769,DCSUBABJRXZOMT-UHFFFAOYNA-N,"InChI=1S/C23H29ClFN3O4/c1-30-21-13-19(26)18(24)12-17(21)23(29)27-20-8-10-28(14-22(20)31-2)9-3-11-32-16-6-4-15(25)5-7-16/h4-7,12-13,20,22H,3,8-11,14,26H2,1-2H3,(H,27,29)",CYP3A4; CYP2C8; CYP2B6 ,N-dealkylation of mixed tertiary amine,Human Phase I,Human,Norcisapride,,OMLDMGPCWMBPAN-UHFFFAOYSA-N,"InChI=1S/C14H20ClN3O3/c1-20-12-6-10(16)9(15)5-8(12)14(19)18-11-3-4-17-7-13(11)21-2/h5-6,11,13,17H,3-4,7,16H2,1-2H3,(H,18,19)","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
644073,Buprenorphine,114976,Norbuprenorphine,N-dealkylation of alicyclic tertiary amine / Human Phase I,Human,CYP3A4; CYP2C8; CYP2C9; CYP3A5,BIOTID01355,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"(R) Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675",CYP3A4; CYP2C8; CYP2C9; CYP3A5,CC(C)(C)[C@](C)([C@H]1C[C@]23CC[C@@]1([C@H]1[C@]43CCN(CC3CC3)[C@@H]2Cc2ccc(c(c42)O1)O)OC)O,CC(C)(C)[C@](C)([C@H]1C[C@]23CC[C@@]1([C@H]1[C@]43CCN[C@@H]2Cc2ccc(c(c42)O1)O)OC)O,Buprenorphine,644073,RMRJXGBAOAMLHD-IHFGGWKQSA-N,"InChI=1S/C29H41NO4/c1-25(2,3)26(4,32)20-15-27-10-11-29(20,33-5)24-28(27)12-13-30(16-17-6-7-17)21(27)14-18-8-9-19(31)23(34-24)22(18)28/h8-9,17,20-21,24,31-32H,6-7,10-16H2,1-5H3/t20-,21-,24-,26+,27-,28+,29-/m1/s1",CYP3A4; CYP2C8; CYP2C9; CYP3A5,N-dealkylation of alicyclic tertiary amine,Human Phase I,Human,Norbuprenorphine,114976,YOYLLRBMGQRFTN-IOMBULRVSA-N,"InChI=1S/C25H35NO4/c1-21(2,3)22(4,28)16-13-23-8-9-25(16,29-5)20-24(23)10-11-26-17(23)12-14-6-7-15(27)19(30-20)18(14)24/h6-7,16-17,20,26-28H,8-13H2,1-5H3/t16-,17-,20-,22+,23-,24+,25-/m1/s1","(R) Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
2206,antipyrine,70335,Norantipyrine,N-dealkylation of hydrazine / Human Phase I,Human,CYP2C8; CYP2C19; CYP2C9; CYP1A2,BIOTID00259,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675",CYP2C8; CYP2C19; CYP2C9; CYP1A2,Cc1cc(=O)n(c2ccccc2)n1C,Cc1cc(n(c2ccccc2)n1)O,antipyrine,2206,VEQOALNAAJBPNY-UHFFFAOYSA-N,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",CYP2C8; CYP2C19; CYP2C9; CYP1A2,N-dealkylation of hydrazine,Human Phase I,Human,Norantipyrine,,KZQYIMCESJLPQH-UHFFFAOYSA-N,"InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-7,11H,1H3","Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
51263,alfentanil,162172,Noralfentanil,N-dealkylation of alicyclic tertiary amine / Human Phase I,Human,CYP3A4,BIOTID00236,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985",CYP3A4,CCC(=O)N(c1ccccc1)C1(CCN(CC1)CCn1c(=O)n(CC)nn1)COC,CCC(=O)N(c1ccccc1)C1(CCNCC1)COC,alfentanil,51263,IDBPHNDTYPBSNI-UHFFFAOYSA-N,"InChI=1S/C21H32N6O3/c1-4-19(28)27(18-9-7-6-8-10-18)21(17-30-3)11-13-24(14-12-21)15-16-26-20(29)25(5-2)22-23-26/h6-10H,4-5,11-17H2,1-3H3",CYP3A4,N-dealkylation of alicyclic tertiary amine,Human Phase I,Human,Noralfentanil,,ULOZGJWEIWAWML-UHFFFAOYSA-N,"InChI=1S/C16H24N2O2/c1-3-15(19)18(14-7-5-4-6-8-14)16(13-20-2)9-11-17-12-10-16/h4-8,17H,3,9-13H2,1-2H3","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
5070,riluzole,9859774,N-Hydroxyriluzole,N-hydroxylation of primary arylamine / Human Phase I,Human,CYP1A1,BIOTID00876,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang and Zhou; Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry, 2009 Vol. 16, No. 31; PMID:19754426",CYP1A1,c1cc2c(cc1OC(F)(F)F)sc(=N)[nH]2,c1cc2c(cc1OC(F)(F)F)sc(n2)NO,riluzole,5070,FTALBRSUTCGOEG-UHFFFAOYSA-N,"InChI=1S/C8H5F3N2OS/c9-8(10,11)14-4-1-2-5-6(3-4)15-7(12)13-5/h1-3H,(H2,12,13)",CYP1A1,N-hydroxylation of primary arylamine,Human Phase I,Human,N-OH-riluzole,9859774,MFGRTKLVQQZZIE-UHFFFAOYSA-N,"InChI=1S/C8H5F3N2O2S/c9-8(10,11)15-4-1-2-5-6(3-4)16-7(12-5)13-14/h1-3,14H,(H,12,13)","Wang and Zhou; Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry, 2009 Vol. 16, No. 31; PMID:19754426"
62275,meiqx,115104,N-HydroxyMeIQX,N-hydroxylation of primary arylamine / Human Phase I,Human,CYP1A2,BIOTID00693,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Fujita, K. et al. (2002). Down-regulation of 2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline (MeIQx)-induced CYP1A2 expression is associated with bovine lactoferrin inhibition of MeIQx-induced liver and colon carcinogenesis in rats. PMID:12079509",CYP1A2,Cc1cnc2ccc3c(c2n1)[nH]c(=N)n3C,Cc1cnc2ccc3c(c2n1)nc(NO)n3C,meiqx,62275,DVCCCQNKIYNAKB-UHFFFAOYSA-N,"InChI=1S/C11H11N5/c1-6-5-13-7-3-4-8-10(9(7)14-6)15-11(12)16(8)2/h3-5H,1-2H3,(H2,12,15)",CYP1A2,N-hydroxylation of primary arylamine,Human Phase I,Human,N-OH-MeIQX,,FVNCCTJGBOTWTM-UHFFFAOYSA-N,"InChI=1S/C11H11N5O/c1-6-5-12-7-3-4-8-10(9(7)13-6)14-11(15-17)16(8)2/h3-5,17H,1-2H3,(H,14,15)","Fujita, K. et al. (2002). Down-regulation of 2-amino-3,8-dimethylimidazo[4,5-f]quinoxaline (MeIQx)-induced CYP1A2 expression is associated with bovine lactoferrin inhibition of MeIQx-induced liver and colon carcinogenesis in rats. PMID:12079509"
53462,"2-Amino-3-methylimidazo(4,5-F)quinoline",105079,"N-Hydroxy-2-amino-3-methylimidazo[4,5-f]quinoline (N-Hydroxy-IQ)",N-Hydroxylation / Human Phase I,Human,CYP1A2; CYP1A1,BIOTID00005,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:9111224,CYP1A2; CYP1A1,Cn1c2ccc3c(cccn3)c2[nH]c1=N,Cn1c2ccc3c(cccn3)c2nc1NO,"2-Amino-3-methylimidazo(4,5-F)quinoline",53462,ARZWATDYIYAUTA-UHFFFAOYSA-N,"InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)",CYP1A2; CYP1A1,N-Hydroxylation,Human Phase I,Human,"N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",105079,QYFQSQCBYZOECM-UHFFFAOYSA-N,"InChI=1S/C11H10N4O/c1-15-9-5-4-8-7(3-2-6-12-8)10(9)13-11(15)14-16/h2-6,16H,1H3,(H,13,14)",PMID:9111224
6124,N-Nitrosodimethylamine,119111,N-Nitroso-N-methyl-N-hydroxymethylamine,Hydroxylation of sp3-carbon adjacent to N in nitrosamine / Human Phase I,Human,CYP2E1; CYP2A6,BIOTID01126,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985",CYP2E1; CYP2A6,CN(C)N=O,CN(CO)N=O,N-Nitrosodimethylamine,6124,UMFJAHHVKNCGLG-UHFFFAOYSA-N,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,CYP2E1; CYP2A6,Hydroxylation of sp3-carbon adjacent to N in nitrosamine,Human Phase I,Human,N-Nitroso-N-methyl-N-hydroxymethylamine,,CDKXZKUBCGJTDG-UHFFFAOYSA-N,"InChI=1S/C2H6N2O2/c1-4(2-5)3-6/h5H,2H2,1H3","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
25418,ethylmethylnitrosamine,108081,N-Nitrosomethylamine,N-dealkylation / Human Phase I,Human,CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,BIOTID00540,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:8824531,CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,CCN(C)N=O,CN=NO,ethylmethylnitrosamine,,RTDCJKARQCRONF-UHFFFAOYSA-N,"InChI=1S/C3H8N2O/c1-3-5(2)4-6/h3H2,1-2H3",CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,N-dealkylation,Human Phase I,Human,,,CIJBKNZDKBKMFU-UHFFFAOYSA-N,"InChI=1S/CH4N2O/c1-2-3-4/h1H3,(H,2,4)",PMID:8824531
6124,N-Nitrosodimethylamine,108081,N-Nitrosomethylamine,N-dealkylation of N-alkylnitrosamine / Human Phase I,Human,CYP1A2; CYP2E1,BIOTID01127,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Kelley, R.W. et al. (2006); Heteromeric Complex Formation between CYP2E1 and CYP1A2: Evidence for the involvement of electrostatic interactions; Biochemistry. 2006 December 26; 45(51): 15807-15816.; doi:10.1021/bi061803n; PMCID:PMC1994092",CYP1A2; CYP2E1,CN(C)N=O,CN=NO,N-Nitrosodimethylamine,6124,UMFJAHHVKNCGLG-UHFFFAOYSA-N,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,CYP1A2; CYP2E1,N-dealkylation of N-alkylnitrosamine,Human Phase I,Human,N-Nitrosomethylamine,,CIJBKNZDKBKMFU-UHFFFAOYSA-N,"InChI=1S/CH4N2O/c1-2-3-4/h1H3,(H,2,4)","Kelley, R.W. et al. (2006); Heteromeric Complex Formation between CYP2E1 and CYP1A2: Evidence for the involvement of electrostatic interactions; Biochemistry. 2006 December 26; 45(51): 15807Ã¢â‚¬â€œ15816.; doi:10.1021/bi061803n; PMCID:PMC1994092"
25418,ethylmethylnitrosamine,149201,N-Nitrosoethanamine,N-dealkylation / Human Phase I,Human,CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,BIOTID00539,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:8824531,CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,CCN(C)N=O,CCN=NO,ethylmethylnitrosamine,,RTDCJKARQCRONF-UHFFFAOYSA-N,"InChI=1S/C3H8N2O/c1-3-5(2)4-6/h3H2,1-2H3",CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,N-dealkylation,Human Phase I,Human,,149201,SCSKXSBERKMMJG-UHFFFAOYSA-N,"InChI=1S/C2H6N2O/c1-2-3-4-5/h2H2,1H3,(H,3,5)",PMID:8824531
5921,Nitrosodiethylamine,149201,N-Nitrosoethanamine,N-dealkylation of nitrosodialkylamine / Human Phase I,Human,CYP2A6; CYP2B6; CYP2E1,BIOTID01125,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Rendic,S. (2002) Summary of information on human CYP enzymes: human P450 metabolism data, Drug Metabolism Reviews, 34:1-2, 83-448, DOI:10.1081/ DMR-120001392; PMID:11996015|Ekins, S. and Wrighton, S.A. (1999); The role of CYP2B6 in Human Xenobiotic Metabolism; Drug Metabolism Reviews, 31:3, 719-754, DOI:10.1081/ DMR-100101942; PMID:10461547",CYP2A6; CYP2B6; CYP2E1,CCN(CC)N=O,CCN=NO,Nitrosodiethylamine,5921,WBNQDOYYEUMPFS-UHFFFAOYSA-N,"InChI=1S/C4H10N2O/c1-3-6(4-2)5-7/h3-4H2,1-2H3",CYP2A6; CYP2B6; CYP2E1,N-dealkylation of nitrosodialkylamine,Human Phase I,Human,N-Nitrosomonoethylamine,149201,SCSKXSBERKMMJG-UHFFFAOYSA-N,"InChI=1S/C2H6N2O/c1-2-3-4-5/h2H2,1H3,(H,3,5)","Rendic,S. (2002) Summary of information on human CYP enzymes: human P450 metabolism data, Drug Metabolism Reviews, 34:1-2, 83-448, DOI:10.1081/ DMR-120001392; PMID:11996015|Ekins, S. and Wrighton, S.A. (1999); The role of CYP2B6 in Human Xenobiotic Metabolism; Drug Metabolism Reviews, 31:3, 719-754, DOI:10.1081/ DMR-100101942; PMID:10461547"
14335,N'-nitrosoanabasine,154699534,"N'-nitrosoanabasine, N-glucuronide",N-Glucuronidation / Human Phase II,Human,UGT2B10,BIOTID01585,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Rendic, S. et al. 2012; Contributions of Human Enzymes in Carcinogen Metabolism Slobodan Rendic1,* and F. Peter Guengerich; Chem Res Toxicol. 2012 July 16; 25(7): 1316-1383. doi:10.1021/tx300132k|Chen G et al. (2008); Glucuronidation of Tobacco-Specific Nitrosamines by UGT2B10; Drug Metab Dispos. 2008 May;36(5):824-30; PMID:18238858; DOI:10.1124/dmd.107.019406",UGT2B10,C1CCN(C(C1)c1cccnc1)N=O,C1CCN(C(C1)c1ccc[n+](c1)C1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O)N=O,NÃ¢â‚¬â„¢-nitrosoanabasine,14335,BXYPVKMROLGXJI-UHFFFAOYSA-N,"InChI=1S/C10H13N3O/c14-12-13-7-2-1-5-10(13)9-4-3-6-11-8-9/h3-4,6,8,10H,1-2,5,7H2",UGT2B10,N-Glucuronidation,Human Phase II,Human,"NÃ¢â‚¬â„¢-nitrosoanabasine, N-glucuronide",,CNFQJGRMFKQFEI-XRPMQRQJSA-O,"InChI=1S/C16H21N3O7/c20-11-12(21)14(16(23)24)26-15(13(11)22)18-6-3-4-9(8-18)10-5-1-2-7-19(10)17-25/h3-4,6,8,10-15,20-22H,1-2,5,7H2/p+1/t10?,11-,12-,13+,14-,15?/m0/s1","Rendic, S. et al. 2012; Contributions of Human Enzymes in Carcinogen Metabolism Slobodan Rendic1,* and F. Peter Guengerich; Chem Res Toxicol. 2012 July 16; 25(7): 1316Ã¢â‚¬â€œ1383. doi:10.1021/tx300132k|Chen G et al. (2008); Glucuronidation of Tobacco-Specific Nitrosamines by UGT2B10; Drug Metab Dispos. 2008 May;36(5):824-30; PMID:18238858; DOI:10.1124/dmd.107.019406"
949,"N,N-Dimethylaniline",7515,N-Methylaniline,N-Demethylation / Human Phase I,Human,CYP1A2;CYP2B1;CYP4B1,BIOTID01274,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Karki, S. B., Dinnocenzo, J. P., Jones, J. P., Korzekwa, K. R. (1995). Mechanism of oxidative amine dealkylation of substituted N,N-dimethylanilines by cytochrome P-450: application of isotope effect profiles. Journal of the American Chemical Society. 117:",CYP1A2;CYP2B1;CYP4B1,CN(C)c1ccccc1,CNc1ccccc1,"N,N-Dimethylaniline",949,JLTDJTHDQAWBAV-UHFFFAOYSA-N,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",CYP1A2;CYP2B1;CYP4B1,N-dementhylation,Human Phase I,Human,,7515,AFBPFSWMIHJQDM-UHFFFAOYSA-N,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3","Karki, S. B., Dinnocenzo, J. P., Jones, J. P., Korzekwa, K. R. (1995). Mechanism of oxidative amine dealkylation of substituted N,N-dimethylanilines by cytochrome P-450: application of isotope effect profiles. Journal of the American Chemical Society. 117:"
